Nome,Matrícula,Ranking,Curso
Zeca,229089,21,Engenharia
Maria,646250,34,Engenharia
Celia,915731,43,Letras
Flora,800961,27,Direito
Pedro,839390,91,Medicina
Lucia,384306,43,Computacao
Amanda,859852,52,Computacao
Maria,445833,52,Matematica
Lucas,366309,34,Fisica
Celia,900845,26,Medicina
Zeca,538034,67,Quimica
Lucia,957808,20,Quimica
Ana,417514,71,Odontologia
Zeca,520123,44,Engenharia
Jose,243568,100,Fisica
Marcos,913842,45,Letras
Celia,363743,19,Matematica
Zeca,667512,27,Letras
Tiago,640216,39,Engenharia
Julia,576389,54,Matematica
Amanda,929186,79,Engenharia
Zeca,218980,78,Computacao
Celia,242814,13,Administracao
Marcos,302071,42,Medicina
Amanda,260794,15,Computacao
Clara,962773,84,Administracao
Julia,788960,74,Computacao
Pedro,861781,18,Letras
Pedro,436607,96,Quimica
Zeca,800878,59,Letras
Tiago,434457,86,Computacao
Zeca,426102,35,Odontologia
Tiago,373191,40,Administracao
Joao,433268,55,Matematica
Celia,347836,25,Fisica
Lucas,569853,50,Odontologia
Lucia,446303,96,Fisica
Lara,885016,98,Quimica
Marcia,968190,95,Computacao
Joao,645189,79,Fisica
Ana,901755,80,Engenharia
Maria,194960,28,Direito
Joao,183244,64,Direito
Rodrigo,609009,44,Odontologia
Joao,557049,27,Administracao
Lara,775975,87,Direito
Clara,508079,47,Letras
Maria,897543,60,Quimica
Clara,896978,49,Fisica
Zeca,180860,55,Letras
Clara,499366,92,Direito
Ana,362930,53,Fisica
Marcos,842952,98,Letras
Marcos,893587,51,Quimica
Zeca,581253,18,Fisica
Luis,816509,69,Quimica
Pedro,985928,71,Fisica
Tiago,352975,43,Fisica
Rodrigo,292643,99,Direito
Celia,534322,34,Matematica
Amanda,673866,83,Matematica
Luisa,633026,51,Computacao
Marcia,109192,48,Engenharia
Pedro,789583,56,Quimica
Luisa,205642,55,Fisica
Luis,540083,78,Fisica
Lara,268842,24,Odontologia
Jose,446588,35,Medicina
Maria,337067,92,Engenharia
Joao,483890,98,Administracao
Marcos,241009,80,Engenharia
Lara,571700,24,Direito
Pedro,587456,23,Fisica
Pedro,468451,35,Letras
Lucas,340777,92,Letras
Pedro,231982,43,Letras
Jose,297030,55,Administracao
Jose,197070,30,Direito
Lucia,893844,52,Odontologia
Zeca,685464,11,Administracao
Julia,685369,68,Fisica
Julia,714806,61,Odontologia
Marcia,412369,80,Engenharia
Flora,972361,70,Medicina
Ana,868636,60,Fisica
Marcia,558966,21,Fisica
Pedro,985504,55,Engenharia
Luisa,575476,28,Engenharia
Marcia,410067,60,Administracao
Amanda,560633,18,Odontologia
Joao,382297,47,Fisica
Ana,496387,14,Odontologia
Ana,512422,56,Letras
Joao,422657,17,Odontologia
Pedro,530328,65,Letras
Julia,890699,63,Fisica
Celia,923482,81,Letras
Rodrigo,481288,93,Letras
Marcos,313247,11,Medicina
Ana,557449,21,Fisica
Maria,109593,75,Matematica
Jose,665466,32,Fisica
Jose,996212,56,Fisica
Marcia,292919,88,Direito
Luisa,636908,96,Medicina
Zeca,415757,28,Computacao
Pedro,532117,54,Administracao
Joao,377750,23,Quimica
Pedro,775105,70,Engenharia
Luis,946229,64,Odontologia
Ana,269737,97,Direito
Luis,517752,74,Quimica
Ana,245528,62,Engenharia
Luisa,374524,71,Quimica
Tiago,745667,97,Computacao
Jose,158304,21,Matematica
Ana,273834,25,Fisica
Joao,563400,25,Medicina
Jose,271501,23,Administracao
Celia,652439,53,Matematica
Pedro,520353,91,Letras
Julia,204281,24,Administracao
Jose,233931,62,Administracao
Flora,186809,79,Quimica
Lara,691958,44,Quimica
Zeca,582296,73,Quimica
Celia,921500,73,Medicina
Clara,219494,55,Quimica
Maria,897226,46,Computacao
Lara,299788,96,Fisica
Rodrigo,458059,54,Direito
Flora,829169,29,Direito
Joao,188269,22,Fisica
Marcos,781216,24,Quimica
Marcia,626821,56,Administracao
Rodrigo,496331,24,Quimica
Zeca,763618,73,Direito
Ana,999828,41,Engenharia
Ana,199195,99,Engenharia
Lucia,512070,99,Administracao
Joao,407551,56,Matematica
Marcos,916483,11,Computacao
Lara,486642,12,Administracao
Rodrigo,730737,85,Letras
Marcos,327997,30,Fisica
Lara,424712,55,Computacao
Pedro,158743,77,Engenharia
Zeca,174495,75,Letras
Pedro,433518,56,Odontologia
Lucia,583835,28,Odontologia
Lara,468076,29,Matematica
Marcos,281965,28,Computacao
Maria,894215,91,Fisica
Lucia,780128,98,Matematica
Maria,201320,97,Direito
Luisa,254376,10,Medicina
Maria,287213,37,Computacao
Clara,101254,67,Engenharia
Luis,890739,93,Matematica
Lucia,201683,70,Computacao
Julia,496349,45,Computacao
Jose,305629,64,Letras
Julia,420758,76,Quimica
Marcia,633375,54,Medicina
Amanda,359457,23,Medicina
Lucas,480649,53,Medicina
Flora,650445,95,Direito
Amanda,539304,35,Medicina
Tiago,995922,43,Odontologia
Joao,361389,56,Matematica
Lucia,225461,47,Medicina
Celia,102469,43,Fisica
Flora,541122,74,Matematica
Lucia,364499,28,Odontologia
Rodrigo,314336,46,Direito
Lucas,595959,26,Matematica
Joao,643019,23,Administracao
Pedro,598468,13,Quimica
Pedro,704346,16,Letras
Luisa,526346,97,Engenharia
Pedro,261854,29,Engenharia
Marcos,210172,100,Direito
Jose,598222,86,Medicina
Marcia,359368,48,Direito
Joao,858069,78,Matematica
Joao,796721,25,Odontologia
Marcia,642386,85,Computacao
Amanda,851026,86,Engenharia
Rodrigo,785394,49,Matematica
Jose,131695,22,Computacao
Luisa,850058,23,Letras
Julia,917928,87,Quimica
Maria,449722,62,Administracao
Pedro,684806,62,Direito
Maria,572178,18,Engenharia
Ana,472640,22,Fisica
Tiago,635994,75,Computacao
Jose,608562,77,Direito
Zeca,817279,100,Medicina
Marcia,125345,43,Engenharia
Marcos,220079,48,Computacao
Zeca,485554,12,Medicina
Lucas,637813,17,Fisica
Clara,295666,51,Odontologia
Amanda,869697,82,Fisica
Marcos,519966,63,Administracao
Celia,936646,96,Odontologia
Zeca,739766,37,Quimica
Luis,886691,90,Quimica
Pedro,166725,96,Letras
Rodrigo,128632,26,Medicina
Luisa,610286,36,Administracao
Jose,717355,100,Odontologia
Julia,509072,99,Odontologia
Clara,637245,24,Medicina
Pedro,961300,10,Medicina
Pedro,651883,77,Letras
Marcos,261626,23,Letras
Lara,174357,66,Medicina
Zeca,624618,23,Matematica
Zeca,171278,88,Computacao
Lucia,868312,59,Engenharia
Ana,497068,89,Fisica
Lara,530318,16,Odontologia
Celia,876962,66,Letras
Julia,624430,44,Letras
Luis,265314,84,Direito
Luis,147408,11,Computacao
Joao,784616,49,Engenharia
Lucia,837716,60,Fisica
Tiago,189091,87,Quimica
Joao,565460,11,Odontologia
Marcos,965928,89,Fisica
Luisa,231690,65,Odontologia
Marcia,886201,55,Fisica
Pedro,940251,10,Engenharia
Marcia,603728,92,Fisica
Flora,725444,52,Matematica
Zeca,921796,75,Computacao
Lucas,499254,70,Quimica
Tiago,265429,92,Letras
Rodrigo,209580,51,Medicina
Marcia,555911,20,Odontologia
Maria,917829,13,Quimica
Julia,532298,14,Administracao
Lara,358804,92,Engenharia
Luis,834163,87,Fisica
Flora,530719,99,Odontologia
Lucas,693093,80,Matematica
Rodrigo,649691,26,Direito
Joao,211794,86,Direito
Marcos,418729,17,Administracao
Marcos,633815,71,Computacao
Marcia,237424,91,Fisica
Luisa,897602,98,Quimica
Joao,774244,49,Fisica
Flora,110144,24,Matematica
Celia,405808,42,Quimica
Pedro,811619,99,Medicina
Marcia,571606,37,Engenharia
Celia,170153,44,Administracao
Luis,537350,58,Letras
Lara,861972,95,Administracao
Joao,480683,36,Odontologia
Lucia,267521,71,Matematica
Lara,239244,94,Administracao
Amanda,443558,48,Administracao
Marcia,518474,91,Administracao
Clara,459625,96,Direito
Tiago,672412,54,Computacao
Rodrigo,478017,57,Medicina
Marcia,371984,57,Administracao
Pedro,652685,55,Computacao
Lara,304696,79,Medicina
Flora,376253,78,Medicina
Jose,288625,66,Matematica
Jose,843785,37,Computacao
Zeca,578427,50,Medicina
Lucas,894781,97,Odontologia
Luisa,488776,32,Fisica
Lucas,872015,38,Letras
Lara,869666,20,Fisica
Luisa,505279,50,Odontologia
Luisa,152803,50,Fisica
Marcia,322600,81,Odontologia
Luisa,385611,80,Direito
Jose,484086,59,Direito
Lara,263437,18,Direito
Julia,313391,88,Matematica
Marcos,400539,13,Matematica
Lucia,583633,51,Fisica
Tiago,807462,73,Fisica
Marcia,264426,22,Odontologia
Zeca,587489,40,Letras
Lucia,265370,82,Direito
Amanda,601950,12,Engenharia
Luisa,938030,89,Computacao
Lucas,386946,69,Letras
Tiago,449793,78,Quimica
Flora,988986,35,Direito
Marcia,186111,78,Computacao
Luisa,489732,18,Medicina
Lucas,386573,56,Engenharia
Maria,956565,18,Quimica
Marcia,425375,14,Administracao
Julia,440041,89,Odontologia
Luisa,542147,10,Computacao
Tiago,151053,94,Letras
Pedro,346943,34,Matematica
Flora,603980,53,Engenharia
Lucia,130101,17,Matematica
Lara,108275,13,Direito
Rodrigo,987937,70,Engenharia
Marcos,773345,65,Medicina
Amanda,976697,47,Fisica
Luisa,931195,24,Computacao
Maria,119050,69,Engenharia
Zeca,607937,93,Medicina
Pedro,101010,13,Engenharia
Maria,928248,93,Engenharia
Lucas,599372,51,Direito
Julia,418360,80,Direito
Rodrigo,622591,27,Medicina
Ana,314583,76,Odontologia
Marcia,509023,48,Odontologia
Pedro,959860,87,Quimica
Clara,736160,70,Letras
Maria,431904,26,Engenharia
Marcos,760667,58,Quimica
Lara,640973,62,Engenharia
Jose,655557,59,Computacao
Zeca,794606,39,Matematica
Ana,774361,17,Fisica
Ana,798784,11,Fisica
Joao,439497,33,Letras
Luisa,902191,28,Odontologia
Luisa,634678,81,Letras
Lara,899504,30,Medicina
Celia,229670,12,Quimica
Pedro,459087,86,Quimica
Zeca,702927,88,Medicina
Celia,881086,48,Computacao
Clara,697211,70,Administracao
Julia,481033,78,Direito
Luisa,817421,36,Medicina
Ana,275147,26,Computacao
Clara,836924,45,Odontologia
Zeca,738926,20,Quimica
Celia,232110,49,Odontologia
Maria,970382,13,Quimica
Maria,361147,66,Letras
Tiago,187017,45,Computacao
Marcos,998945,74,Letras
Jose,248067,83,Odontologia
Marcia,428689,58,Letras
Rodrigo,949092,13,Fisica
Flora,974971,12,Odontologia
Maria,872661,43,Engenharia
Maria,112592,96,Medicina
Zeca,170989,20,Administracao
Lara,801634,86,Administracao
Flora,416807,65,Quimica
Ana,304021,11,Direito
Jose,205120,56,Odontologia
Luisa,351853,10,Fisica
Clara,965608,27,Computacao
Joao,249924,39,Computacao
Luis,710419,42,Matematica
Lara,592692,84,Engenharia
Clara,719447,86,Matematica
Pedro,100258,44,Engenharia
Zeca,274011,12,Letras
Flora,958635,30,Direito
Joao,144623,93,Matematica
Luisa,405169,46,Computacao
Marcos,331745,20,Quimica
Pedro,708369,21,Quimica
Luis,857291,38,Matematica
Marcia,516194,27,Matematica
Lara,123057,12,Administracao
Lucas,130556,83,Fisica
Lucas,647121,86,Matematica
Maria,950124,23,Administracao
Flora,515385,95,Quimica
Tiago,336712,34,Computacao
Maria,147573,63,Quimica
Lucia,779081,37,Letras
Celia,703691,97,Engenharia
Jose,201108,86,Letras
Julia,896743,55,Computacao
Rodrigo,543569,19,Medicina
Joao,502534,82,Engenharia
Amanda,251339,50,Quimica
Flora,730699,98,Engenharia
Luis,570128,11,Letras
Jose,627206,52,Odontologia
Julia,518655,40,Quimica
Tiago,282209,94,Quimica
Pedro,296697,37,Matematica
Zeca,527114,68,Fisica
Lucia,685600,75,Odontologia
Marcia,393573,94,Odontologia
Lucia,582331,98,Medicina
Marcos,469088,16,Quimica
Rodrigo,553507,65,Medicina
Marcia,998913,34,Matematica
Rodrigo,696217,19,Engenharia
Tiago,174071,65,Computacao
Marcia,709121,54,Medicina
Julia,132510,46,Matematica
Julia,865310,29,Quimica
Rodrigo,122890,88,Engenharia
Clara,196518,22,Letras
Jose,785779,36,Administracao
Tiago,187897,64,Direito
Lucia,287386,59,Fisica
Joao,147725,32,Engenharia
Luis,214549,14,Medicina
Lucas,259205,42,Direito
Celia,635259,61,Direito
Pedro,418462,85,Letras
Luis,437804,14,Matematica
Luisa,268834,71,Direito
Julia,846072,79,Direito
Julia,667418,89,Direito
Celia,380058,91,Computacao
Rodrigo,856247,40,Matematica
Clara,705808,55,Quimica
Tiago,827072,78,Quimica
Lara,425191,97,Computacao
Jose,269511,29,Medicina
Celia,716414,87,Administracao
Lucia,954468,58,Direito
Maria,649996,16,Fisica
Tiago,840320,71,Administracao
Celia,197973,92,Medicina
Rodrigo,589789,48,Matematica
Rodrigo,777652,62,Medicina
Zeca,327782,62,Matematica
Marcia,799771,57,Odontologia
Marcos,670396,69,Odontologia
Julia,779559,47,Medicina
Ana,302505,80,Medicina
Lucia,192674,86,Odontologia
Clara,419384,86,Medicina
Maria,168960,62,Matematica
Ana,318464,72,Computacao
Celia,512501,92,Medicina
Luisa,317976,67,Engenharia
Julia,763464,10,Administracao
Joao,997072,65,Direito
Maria,673197,37,Fisica
Ana,153405,62,Computacao
Jose,341224,99,Administracao
Flora,145038,19,Engenharia
Lara,992493,30,Administracao
Zeca,201677,82,Quimica
Clara,508348,94,Quimica
Joao,883112,52,Odontologia
Flora,443543,94,Medicina
Jose,703955,34,Quimica
Amanda,996195,74,Odontologia
Celia,212887,76,Administracao
Zeca,870865,14,Letras
Marcia,210286,98,Matematica
Ana,185150,60,Quimica
Pedro,389961,14,Direito
Maria,540964,79,Computacao
Marcia,986709,100,Matematica
Joao,976735,30,Direito
Tiago,688182,100,Computacao
Tiago,919309,60,Engenharia
Zeca,888132,37,Medicina
Luis,644723,31,Administracao
Tiago,896012,29,Engenharia
Ana,877778,94,Direito
Lara,396050,72,Medicina
Rodrigo,682096,85,Computacao
Clara,844372,95,Letras
Lucia,738493,66,Quimica
Tiago,222267,94,Odontologia
Tiago,936271,32,Engenharia
Lara,137965,85,Engenharia
Jose,753896,35,Direito
Marcos,315369,31,Direito
Maria,169738,41,Matematica
Maria,281970,43,Computacao
Lucia,649511,22,Letras
Julia,438258,34,Medicina
Zeca,752204,68,Direito
Zeca,674683,75,Matematica
Pedro,522640,86,Engenharia
Clara,928315,88,Fisica
Flora,407457,23,Engenharia
Flora,710099,79,Letras
Jose,565256,34,Quimica
Celia,261159,75,Medicina
Flora,845094,30,Odontologia
Lucia,268039,42,Direito
Ana,590911,12,Administracao
Flora,763184,99,Letras
Julia,638978,54,Odontologia
Marcos,978461,94,Computacao
Pedro,455804,37,Administracao
Lucia,670085,24,Administracao
Maria,137377,42,Letras
Lucia,116715,75,Medicina
Joao,756914,25,Engenharia
Rodrigo,312674,71,Matematica
Luis,866593,89,Matematica
Maria,487823,13,Fisica
Lucia,939283,72,Matematica
Luisa,719219,59,Matematica
Joao,965609,79,Medicina
Celia,431585,42,Direito
Luisa,768699,90,Engenharia
Marcos,665472,95,Direito
